"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"af","Africa","afegy","Egypt","egy",195795
"as","Asia","askaz","Kazakhstan","kaz",77330
"as","Asia","assgp","Singapore","sgp",48843
"as","Asia","astur","Turkey","tur",2422274
"eu","Europe","eublr","Belarus","blr",117035
"eu","Europe","eupol","Poland","pol",327844
"eu","Europe","eurus","Russia","rus",2943977.0000000005
"eu","Europe","eusvk","Slovakia","svk",13275
"eu","Europe","euukr","Ukraine","ukr",23385
