"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"as","Asia","asare","United Arab Emirates","are",1229783.9999999998
"as","Asia","aschn","China","chn",663692
"as","Asia","asind","India","ind",4323340.999999999
"as","Asia","asirn","Iran","irn",4653686
"as","Asia","askor","South Korea","kor",1091563.9999999998
"as","Asia","astkm","Turkmenistan","tkm",260899.99999999997
"as","Asia","astur","Turkey","tur",203991
"as","Asia","asvnm","Vietnam","vnm",7751988
"eu","Europe","eufra","France","fra",4550
