"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"as","Asia","aschn","China","chn",2363377.9999999995
"as","Asia","astur","Turkey","tur",12290.999999999998
"eu","Europe","euesp","Spain","esp",574
