"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"as","Asia","asarm","Armenia","arm",6801
"as","Asia","askgz","Kyrgyzstan","kgz",155619
"as","Asia","askwt","Kuwait","kwt",777
"as","Asia","astkm","Turkmenistan","tkm",5313
"as","Asia","astur","Turkey","tur",30
"eu","Europe","eubgr","Bulgaria","bgr",6.999999999999999
"eu","Europe","eublr","Belarus","blr",238274
"eu","Europe","eucze","Czechia","cze",3553
"eu","Europe","eudeu","Germany","deu",697.0000000000001
"eu","Europe","eulva","Latvia","lva",755.9999999999999
"eu","Europe","eumda","Moldova","mda",3465
"eu","Europe","eupol","Poland","pol",2842
"eu","Europe","eurus","Russia","rus",2341994
"eu","Europe","euukr","Ukraine","ukr",14592
