"Continent ID","Continent","Country ID","Country","ISO 3","Trade Value"
"as","Asia","aschn","China","chn",6513541.999999999
"as","Asia","askgz","Kyrgyzstan","kgz",2588911
"as","Asia","astjk","Tajikistan","tjk",43484500
"eu","Europe","eurus","Russia","rus",49995
